Name,Attack Type,Frames,Is One Cut,Camera and Avatar Moving,Length in seconds,Source
Sword_Attack_Sp_R,diagno_upright_2_lowleft,129,one_cut,FALSE,2.15,Captured
Sword_Attack_Sp_LRound_fast,horizontal_left_2_right,99,one_cut,FALSE,1.65,Captured
Sword_Attack_Sp_LRound,horizontal_left_2_right,117,one_cut,FALSE,1.95,Captured
Sword_Attack_Ld_fast,diagno_lowleft_2_upright,87,one_cut,FALSE,1.45,Captured
Sword_Attack_Ld3_quick_fast,diagno_lowleft_2_upright,73,one_cut,FALSE,1.216667,Captured
Sword_Attack_Ld3_quick,diagno_lowleft_2_upright,87,one_cut,FALSE,1.45,Captured
Sword_Attack_Ld2_fast,diagno_lowleft_2_upright,81,one_cut,FALSE,1.35,Captured
Sword_Attack_Ld2,diagno_lowleft_2_upright,91,one_cut,FALSE,1.516667,Captured
Sword_Attack_Ld,diagno_lowleft_2_upright,101,one_cut,FALSE,1.683333,Captured
Sword_Attack_RLLR,diagno_upright_2_lowleft,79,one_cut,FALSE,1.316667,Captured
Sword_Attack_RLL,diagno_upleft_2_lowright,79,one_cut,FALSE,1.316667,Captured
Sword_Attack_RL,diagno_lowleft_2_upright,79,one_cut,FALSE,1.316667,Captured
Sword_Attack_Rd_fast,diagno_lowright_2_upleft,117,one_cut,FALSE,1.95,Captured
Sword_Attack_Rd,diagno_lowright_2_upleft,125,one_cut,FALSE,2.083333,Captured
Sword_Attack_R_Whirlwind_fast,horizontal_right_2_left,115,one_cut,FALSE,1.916667,Captured
Sword_Attack_R_Whirlwind,horizontal_right_2_left,123,one_cut,FALSE,2.05,Captured
Sword_Attack_R,diagno_upright_2_lowleft,79,one_cut,FALSE,1.316667,Captured
OH_Sword_HeavyAttack2,diagno_lowleft_2_upright,101,one_cut,FALSE,1.683333,Animated
OH_Sword_HeavyAttack1,diagno_upright_2_lowleft,117,one_cut,FALSE,1.95,Animated
OH_Sword_Attack3,diagno_upright_2_lowleft,95,one_cut,FALSE,1.583333,Animated
OH_Sword_Attack2,diagno_lowleft_2_upright,83,one_cut,FALSE,1.383333,Animated
OH_Sword_Attack1,thrust,95,one_cut,FALSE,1.583333,Animated
2Handed_Attack_InPlace_05,horizontal_right_2_left,165,one_cut,FALSE,2.75,Captured
2Handed_Attack_InPlace_04,diagno_upright_2_lowleft,163,one_cut,FALSE,2.716667,Captured
2Handed_Attack_InPlace_03,horizontal_left_2_right,139,one_cut,FALSE,2.316667,Captured
2Handed_Attack_InPlace_02,horizontal_right_2_left,131,one_cut,FALSE,2.183333,Captured
2Handed_Attack_InPlace_01,horizontal_right_2_left,139,one_cut,FALSE,2.316667,Captured
2Handed_Attack_14,horizontal_right_2_left,137,one_cut,FALSE,2.283333,Captured
2Handed_Attack_13,diagno_lowleft_2_upright,125,one_cut,FALSE,2.083333,Captured
2Handed_Attack_12,vertical_up_2_down,207,one_cut,FALSE,3.45,Captured
2Handed_Attack_11,thrust,193,one_cut,FALSE,3.216667,Captured
2Handed_Attack_10,diagno_lowleft_2_upright,69,split,FALSE,1.15,Captured
2Handed_Attack_10,diagno_lowright_2_upleft,71,split,FALSE,1.183333,Captured
2Handed_Attack_09,diagno_lowright_2_upleft,115,one_cut,FALSE,1.916667,Captured
2Handed_Attack_08,diagno_upright_2_lowleft,145,one_cut,FALSE,2.416667,Captured
2Handed_Attack_07,diagno_upleft_2_lowright,137,one_cut,FALSE,2.283333,Captured
2Handed_Attack_06,diagno_upleft_2_lowright,117,one_cut,FALSE,1.95,Captured
2Handed_Attack_05,diagno_upright_2_lowleft,153,one_cut,FALSE,2.55,Captured
2Handed_Attack_04,diagno_upleft_2_lowright,101,split,FALSE,1.683333,Captured
2Handed_Attack_04,diagno_upright_2_lowleft,110,split,FALSE,1.833333,Captured
2Handed_Attack_03_Plus,diagno_upleft_2_lowright,86,one_cut,FALSE,1.433333,Captured
2Handed_Attack_03,horizontal_left_2_right,139,one_cut,FALSE,2.316667,Captured
2Handed_Attack_02_Plus,horizontal_right_2_left,89,one_cut,FALSE,1.483333,Captured
2Handed_Attack_02,horizontal_right_2_left,114,split,FALSE,1.9,Captured
2Handed_Attack_02,horizontal_right_2_left,101,split,FALSE,1.683333,Captured
2Handed_Attack_01,horizontal_right_2_left,177,one_cut,FALSE,2.95,Captured
Frank_RPG_Warrior_Combo06_1,vertical_up_2_down,76,one_cut,FALSE,1.266667,Animated
Frank_RPG_Warrior_Combo05_All,thrust,76,split,FALSE,1.266667,Animated
Frank_RPG_Warrior_Combo05_All,horizontal_left_2_right,14,split,FALSE,0.233333,Animated
Frank_RPG_Warrior_Combo05_All,horizontal_right_2_left,21,split,FALSE,0.35,Animated
Frank_RPG_Warrior_Combo05_All,horizontal_left_2_right,15,split,FALSE,0.25,Animated
Frank_RPG_Warrior_Combo05_All,diagno_upright_2_lowleft,31,split,FALSE,0.516667,Animated
Frank_RPG_Warrior_Combo03_All,diagno_upright_2_lowleft,71,split,FALSE,1.183333,Animated
Frank_RPG_Warrior_Combo03_All,thrust,21,split,FALSE,0.35,Animated
Frank_RPG_Warrior_Combo03_All,horizontal_left_2_right,16,split,FALSE,0.266667,Animated
Frank_RPG_Warrior_Combo03_All,diagno_upright_2_lowleft,31,split,FALSE,0.516667,Animated
Frank_RPG_Warrior_Combo02_All,horizontal_left_2_right,26,one_cut,FALSE,0.433333,Animated
Frank_RPG_Warrior_Combo01_All,diagno_lowright_2_upleft,105,split,FALSE,1.75,Animated
Frank_RPG_Warrior_Combo01_All,horizontal_left_2_right,13,split,FALSE,0.216667,Animated
Frank_RPG_Warrior_Combo01_All,horizontal_left_2_right,31,split,FALSE,0.516667,Animated
Frank_RPG_Warrior_Combo01_All,horizontal_right_2_left,33,split,FALSE,0.55,Animated
Frank_RPG_Warrior_Attack06,thrust,94,one_cut,FALSE,1.566667,Animated
Frank_RPG_Warrior_Attack05,diagno_lowright_2_upleft,79,one_cut,FALSE,1.316667,Animated
Frank_RPG_Warrior_Attack04,diagno_upleft_2_lowright,91,one_cut,FALSE,1.516667,Animated
Frank_RPG_Warrior_Attack03,thrust,79,one_cut,FALSE,1.316667,Animated
Frank_RPG_Warrior_Attack02,diagno_upright_2_lowleft,67,one_cut,FALSE,1.116667,Animated
Frank_RPG_Warrior_Attack01_GuardnAttack,horizontal_left_2_right,11,one_cut,FALSE,0.183333,Animated
Frank_RPG_Assassin_Combo04_All,diagno_lowright_2_upleft,22,split,FALSE,0.366667,Animated
Frank_RPG_Assassin_Combo04_All,horizontal_left_2_right,24,split,FALSE,0.4,Animated
Frank_RPG_Assassin_Combo04_All,diagno_upright_2_lowleft,20,split,FALSE,0.333333,Animated
Frank_RPG_Assassin_Combo02_All,horizontal_left_2_right,50,split,FALSE,0.833333,Animated
Frank_RPG_Assassin_Combo02_All,diagno_upright_2_lowleft,21,split,FALSE,0.35,Animated
Frank_RPG_Assassin_Combo02_All,horizontal_left_2_right,10,split,FALSE,0.166667,Animated
Frank_RPG_Assassin_Combo02_All,horizontal_right_2_left,10,split,FALSE,0.166667,Animated
Frank_RPG_Assassin_Combo02_All,horizontal_left_2_right,20,split,FALSE,0.333333,Animated
Frank_RPG_Assassin_Combo02_All,diagno_upright_2_lowleft,20,split,FALSE,0.333333,Animated
Frank_RPG_Assassin_Attack03,diagno_upright_2_lowleft,71,one_cut,FALSE,1.183333,Animated
Frank_RPG_Assassin_Attack02,horizontal_left_2_right,45,one_cut,FALSE,0.75,Animated
Frank_RPG_Assassin_Attack01,diagno_upleft_2_lowright,47,one_cut,FALSE,0.783333,Animated
Sword&Shield_JumpAttack3,vertical_up_2_down,37,one_cut,FALSE,0.616667,Animated
Sword&Shield_JumpAttack2,diagno_upleft_2_lowright,31,one_cut,FALSE,0.516667,Animated
